Publisher,Rank,Name,Platform,Year,Genre,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
10TACLE Studios,3,3,3,3,3,3,3,3,3,3
1C Company,3,3,3,3,3,3,3,3,3,3
20th Century Fox Video Games,5,5,5,5,5,5,5,5,5,5
2D Boy,1,1,1,1,1,1,1,1,1,1
3DO,36,36,36,36,36,36,36,36,36,36
49Games,1,1,1,1,1,1,1,1,1,1
505 Games,192,192,192,192,192,192,192,192,192,192
5pb,61,61,61,61,61,61,61,61,61,61
7G//AMES,4,4,4,4,4,4,4,4,4,4
989 Sports,1,1,1,1,1,1,1,1,1,1
989 Studios,14,14,14,14,14,14,14,14,14,14
AQ Interactive,5,5,5,5,5,5,5,5,5,5
ASC Games,3,3,3,3,3,3,3,3,3,3
ASCII Entertainment,20,20,20,20,20,20,20,20,20,20
ASCII Media Works,9,9,9,9,9,9,9,9,9,9
ASK,1,1,1,1,1,1,1,1,1,1
Abylight,1,1,1,1,1,1,1,1,1,1
Acclaim Entertainment,184,184,184,184,184,184,184,184,184,184
Accolade,3,3,3,3,3,3,3,3,3,3
Ackkstudios,10,10,10,10,10,10,10,10,10,10
Acquire,13,13,13,13,13,13,13,13,13,13
Activision,966,966,966,966,966,966,966,966,966,966
Activision Blizzard,1,1,1,1,1,1,1,1,1,1
Activision Value,29,29,29,29,29,29,29,29,29,29
Adeline Software,1,1,1,1,1,1,1,1,1,1
Aerosoft,2,2,2,2,2,2,2,2,2,2
Agatsuma Entertainment,3,3,3,3,3,3,3,3,3,3
Agetec,8,8,8,8,8,8,8,8,8,8
Aksys Games,8,8,8,8,8,8,8,8,8,8
Alawar Entertainment,2,2,2,2,2,2,2,2,2,2
Alchemist,43,43,43,43,43,43,43,43,43,43
Alternative Software,6,6,6,6,6,6,6,6,6,6
Altron,1,1,1,1,1,1,1,1,1,1
Alvion,2,2,2,2,2,2,2,2,2,2
American Softworks,1,1,1,1,1,1,1,1,1,1
Angel Studios,3,3,3,3,3,3,3,3,3,3
Answer Software,1,1,1,1,1,1,1,1,1,1
Aqua Plus,23,23,23,23,23,23,23,23,23,23
Aques,1,1,1,1,1,1,1,1,1,1
Arc System Works,26,26,26,26,26,26,26,26,26,26
Arena Entertainment,2,2,2,2,2,2,2,2,2,2
Aria,1,1,1,1,1,1,1,1,1,1
Arika,3,3,3,3,3,3,3,3,3,3
ArtDink,9,9,9,9,9,9,9,9,9,9
Aruze Corp,3,3,3,3,3,3,3,3,3,3
Ascaron Entertainment,1,1,1,1,1,1,1,1,1,1
Ascaron Entertainment GmbH,3,3,3,3,3,3,3,3,3,3
Asgard,8,8,8,8,8,8,8,8,8,8
Asmik Ace Entertainment,3,3,3,3,3,3,3,3,3,3
Asmik Corp,2,2,2,2,2,2,2,2,2,2
Aspyr,8,8,8,8,8,8,8,8,8,8
Astragon,6,6,6,6,6,6,6,6,6,6
Asylum Entertainment,6,6,6,6,6,6,6,6,6,6
Atari,347,347,347,347,347,347,347,347,347,347
Athena,2,2,2,2,2,2,2,2,2,2
Atlus,67,67,67,67,67,67,67,67,67,67
Avalon Interactive,6,6,6,6,6,6,6,6,6,6
Avanquest,25,25,25,25,25,25,25,25,25,25
Avanquest Software,9,9,9,9,9,9,9,9,9,9
Axela,1,1,1,1,1,1,1,1,1,1
BAM! Entertainment,35,35,35,35,35,35,35,35,35,35
BMG Interactive Entertainment,7,7,7,7,7,7,7,7,7,7
BPS,2,2,2,2,2,2,2,2,2,2
Banpresto,73,73,73,73,73,73,73,73,73,73
Benesse,6,6,6,6,6,6,6,6,6,6
Berkeley,1,1,1,1,1,1,1,1,1,1
Bethesda Softworks,69,69,69,69,69,69,69,69,69,69
Big Ben Interactive,7,7,7,7,7,7,7,7,7,7
Big Fish Games,2,2,2,2,2,2,2,2,2,2
Bigben Interactive,13,13,13,13,13,13,13,13,13,13
Black Bean Games,30,30,30,30,30,30,30,30,30,30
Black Label Games,1,1,1,1,1,1,1,1,1,1
Blast! Entertainment Ltd,6,6,6,6,6,6,6,6,6,6
Blue Byte,2,2,2,2,2,2,2,2,2,2
Bohemia Interactive,1,1,1,1,1,1,1,1,1,1
Bomb,1,1,1,1,1,1,1,1,1,1
Boost On,1,1,1,1,1,1,1,1,1,1
Brash Entertainment,10,10,10,10,10,10,10,10,10,10
Broccoli,22,22,22,22,22,22,22,22,22,22
BushiRoad,1,1,1,1,1,1,1,1,1,1
CBS Electronics,1,1,1,1,1,1,1,1,1,1
CCP,1,1,1,1,1,1,1,1,1,1
CDV Software Entertainment,6,6,6,6,6,6,6,6,6,6
CPG Products,1,1,1,1,1,1,1,1,1,1
CTO SpA,2,2,2,2,2,2,2,2,2,2
Capcom,376,376,376,376,376,376,376,376,376,376
Cave,10,10,10,10,10,10,10,10,10,10
ChunSoft,18,18,18,18,18,18,18,18,18,18
City Interactive,18,18,18,18,18,18,18,18,18,18
Cloud Imperium Games Corporation,2,2,2,2,2,2,2,2,2,2
Coconuts Japan,2,2,2,2,2,2,2,2,2,2
Codemasters,150,150,150,150,150,150,150,150,150,150
Codemasters Online,1,1,1,1,1,1,1,1,1,1
CokeM Interactive,1,1,1,1,1,1,1,1,1,1
Coleco,5,5,5,5,5,5,5,5,5,5
Comfort,6,6,6,6,6,6,6,6,6,6
Commseed,1,1,1,1,1,1,1,1,1,1
Compile,6,6,6,6,6,6,6,6,6,6
Compile Heart,20,20,20,20,20,20,20,20,20,20
Conspiracy Entertainment,14,14,14,14,14,14,14,14,14,14
Core Design Ltd.,2,2,2,2,2,2,2,2,2,2
Crave Entertainment,71,71,71,71,71,71,71,71,71,71
Creative Core,3,3,3,3,3,3,3,3,3,3
Crimson Cow,2,2,2,2,2,2,2,2,2,2
Crystal Dynamics,5,5,5,5,5,5,5,5,5,5
Culture Brain,4,4,4,4,4,4,4,4,4,4
Culture Publishers,1,1,1,1,1,1,1,1,1,1
CyberFront,14,14,14,14,14,14,14,14,14,14
Cygames,1,1,1,1,1,1,1,1,1,1
D3Publisher,183,183,183,183,183,183,183,183,183,183
